,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_agreed,total_not_agreed
suspicious-document00024-555430,12,11,12,11,12,12,11,11,11,12,10.0,0.0
suspicious-document00157-11165,11,11,12,11,12,12,12,12,12,11,10.0,0.0
suspicious-document00254-953100,12,11,12,11,12,11,11,12,11,12,10.0,0.0
suspicious-document00700-77922,12,11,12,11,12,11,11,12,12,12,10.0,0.0
suspicious-document00942-578142,12,11,12,11,12,11,11,11,12,12,10.0,0.0
suspicious-document02996-1553,12,12,12,11,12,11,12,11,12,12,10.0,0.0
suspicious-document03107-17386,12,12,12,11,12,11,12,12,11,11,10.0,0.0
suspicious-document04543-14594,12,11,12,11,12,11,11,11,11,12,10.0,0.0
suspicious-document05097-16868,12,11,12,11,12,11,12,12,12,12,10.0,0.0
suspicious-document05388-10604,11,10,12,11,11,11,11,10,11,12,8.0,2.0
suspicious-document06551-27738,12,11,12,11,12,11,12,12,11,12,10.0,0.0
suspicious-document06619-28321,12,11,12,11,11,12,11,12,12,12,10.0,0.0
suspicious-document07659-24688,12,11,12,11,11,11,12,12,12,12,10.0,0.0
suspicious-document08140-25978,12,12,12,11,11,10,11,12,12,12,9.0,1.0
suspicious-document08761-22052,11,11,12,11,11,11,11,11,11,11,10.0,0.0
suspicious-document08964-23102,12,10,12,11,11,11,11,11,11,12,9.0,1.0
suspicious-document08994-22190,12,11,12,11,11,11,12,12,12,12,10.0,0.0
suspicious-document09368-35247,12,10,12,11,11,11,11,11,11,12,9.0,1.0
suspicious-document10171-37652,12,11,12,11,11,12,11,12,11,12,10.0,0.0
suspicious-document10252-31234,11,11,12,11,11,11,11,11,11,12,10.0,0.0
total_agreed,20,17,20,20,20,19,20,19,20,20,195.0,0.0
total_not_agreed,0,3,0,0,0,1,0,1,0,0,0.0,5.0
