,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_plagiarised,total_not_plagiarised
suspicious-document00157-11165,23,23,23,23,23,23,23,22,23,23,10,0
suspicious-document02996-1553,22,21,23,23,22,22,23,22,22,22,10,0
suspicious-document00024-555430,20,20,20,20,20,20,20,20,20,20,0,10
suspicious-document03107-17386,22,21,21,22,21,22,22,22,21,23,10,0
suspicious-document04543-14594,23,23,21,23,21,22,22,22,21,23,10,0
suspicious-document05097-16868,23,22,21,23,22,21,23,22,23,23,10,0
suspicious-document05388-10604,23,21,21,22,21,21,21,22,21,23,10,0
suspicious-document06551-27738,23,22,21,22,21,23,22,22,22,23,10,0
suspicious-document00254-953100,20,20,20,20,20,20,20,20,20,20,0,10
suspicious-document06619-28321,23,23,23,23,21,23,22,22,22,23,10,0
suspicious-document07659-24688,23,23,23,22,23,23,22,23,22,23,10,0
suspicious-document08140-25978,23,21,21,22,21,21,22,22,22,23,10,0
suspicious-document08761-22052,23,22,21,22,21,22,22,22,23,23,10,0
suspicious-document00700-77922,20,20,20,20,20,20,20,20,20,20,0,10
suspicious-document08964-23102,22,21,21,21,21,21,21,22,21,23,10,0
suspicious-document08994-22190,23,23,23,22,21,22,22,22,22,23,10,0
suspicious-document09368-35247,23,21,21,22,21,22,21,23,21,23,10,0
suspicious-document10171-37652,22,23,21,22,21,22,22,23,23,23,10,0
suspicious-document10252-31234,23,21,22,22,21,21,21,22,21,23,10,0
suspicious-document00942-578142,20,20,20,20,20,20,20,20,20,20,0,10
total_plagiarised,16,16,16,16,16,16,16,16,16,16,160,0
total_not_plagiarised,4,4,4,4,4,4,4,4,4,4,0,40
